"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000181019",-1.7453399107158,-8.94710140433485,-12.9414217745073,7.33832644348432e-18,6.20492192428817e-14,30.311669509223
"ENSG00000196136",-2.99621520725706,-9.34582493181471,-11.3488360648479,1.15717898039632e-15,2.44613171718528e-12,25.3954437706779
"ENSG00000090006",1.71470406305889,-4.81617934806723,11.2336475727048,1.68983899141845e-15,3.17520746487527e-12,25.0591137051623
"ENSG00000105835",-1.58880615931374,-6.02708835615937,-10.806095697165,6.99179863887696e-15,9.78218052755319e-12,23.6689065544192
"ENSG00000139410",1.64457447412716,-9.92690031708283,9.72156532484772,2.83465989088664e-13,1.45263434590254e-10,19.9305220364141
"ENSG00000232110",2.05788147067825,-11.5042843938563,9.36382952976407,9.90208569170472e-13,3.41743206392691e-10,18.5346495048565
"ENSG00000255054",-4.56751550395616,-11.1445226866186,-9.1803406936057,1.89074119067474e-12,5.50427835485786e-10,18.1638298187332
"ENSG00000180999",-2.3869625823771,-10.4444631894628,-9.03322462602122,3.18357271819724e-12,8.40458788650465e-10,17.6671175360839
"ENSG00000249774",2.19206233139924,-5.657811961497,9.00632675900711,3.50256440711737e-12,8.84057711772564e-10,17.5721997177165
"ENSG00000164694",2.06364202161499,-11.6138418497206,8.99248434120324,3.67908844605168e-12,9.14956833987941e-10,17.3018939949386
"ENSG00000254132",-1.83671187659586,-8.37640885968712,-8.90354294097882,5.04817412442506e-12,1.16000561660206e-09,17.2180290732936
"ENSG00000165449",2.02899624732743,-11.0953245264953,8.86897297242129,5.70983654826175e-12,1.22226640338803e-09,16.9314319171965
"ENSG00000016391",-1.83572386451465,-11.9740265774972,-8.84521067631709,6.21467283784077e-12,1.29870695044449e-09,16.9392617105879
"ENSG00000259413",-1.55314716707182,-9.70311017188073,-8.84494686486373,6.22052291325192e-12,1.29870695044449e-09,17.0210774419988
"ENSG00000124713",-1.84766341779017,-12.0640825297156,-8.52943113112065,1.92505166809e-11,3.07118384519528e-09,15.854137691521
"ENSG00000265356",-2.44920691627881,-11.4070170092799,-8.43129178022789,2.74020632448917e-11,4.05781159287997e-09,15.5608191830198
"ENSG00000118137",2.51276694784346,-6.72394505232656,8.42464634229918,2.80658741218317e-11,4.09156894201979e-09,15.5411863520754
"ENSG00000107518",1.8607515689245,-12.0275681875602,8.3699028670582,3.41876128002779e-11,4.70037983793089e-09,15.1981684087887
"ENSG00000171885",-2.43179095309141,-12.045574065824,-8.16499962968044,7.16895997312524e-11,8.0822854737014e-09,14.6113751659253
"ENSG00000134121",-1.86699276652281,-11.8809968108883,-8.15895862362484,7.3275149165569e-11,8.11376248541133e-09,14.5876835493911
"ENSG00000251476",-3.00081757688076,-8.75395665288897,-8.14104296811094,7.81877155750655e-11,8.44486213686651e-09,14.5354954068888
"ENSG00000213316",1.61150091100763,-11.1183948376335,8.08182020813387,9.69087584455751e-11,9.5304691571646e-09,14.2720723128692
"ENSG00000139329",1.9569772833347,-4.4883897427725,8.08175010645945,9.6933398085998e-11,9.5304691571646e-09,14.3096047867947
"ENSG00000243056",1.59193819541516,-8.42754421807287,7.98864147249841,1.35904826472914e-10,1.23563791423841e-08,14.0153460323629
"ENSG00000164530",2.93373115199023,-7.95704569798332,7.98557512915235,1.37427010157666e-10,1.24087073290368e-08,14.0087607251355
"ENSG00000118777",1.96947889456802,-11.264122102484,7.94112513526474,1.61517664605434e-10,1.38222213712403e-08,13.7640517164815
"ENSG00000248594",2.57426095081201,-11.0777508894875,7.862641707658,2.14880647186583e-10,1.68233640026495e-08,13.4912448634732
"ENSG00000270236",-1.53298676537236,-6.74254425219697,-7.84021401700837,2.331591907631e-10,1.75975897891999e-08,13.4446466882025
"ENSG00000188257",-2.82713334287753,-8.4742036069055,-7.77754043060652,2.92949010592206e-10,2.13537099919172e-08,13.236398706906
"ENSG00000186310",1.79225606698618,-10.4716072656029,7.73803346286623,3.38321740401621e-10,2.38389956330492e-08,13.1131619001635
"ENSG00000256103",-2.07693387934717,-9.16815360690262,-7.59223449048088,5.75963717030912e-10,3.54186269771264e-08,12.5878253757156
"ENSG00000255905",1.8412217903527,-8.70656613228971,7.50078525866472,8.0449082408232e-10,4.53491477535204e-08,12.2912664592744
"ENSG00000233404",1.72523747872324,-11.2883883015087,7.49670900270135,8.16569350976724e-10,4.58770906789614e-08,12.2365297102475
"ENSG00000254283",-1.61649651948289,-3.75920249338385,-7.31767473981622,1.57209190935264e-09,7.7963772079362e-08,11.598602476704
"ENSG00000239995",-2.0166744161597,-11.6520135459561,-7.2806213695184,1.80054378510717e-09,8.77492678672834e-08,11.5208526696169
"ENSG00000235957",1.9462766507106,-7.33642945891166,7.27207267188197,1.85780697964363e-09,8.97639252364384e-08,11.4396283033859
"ENSG00000101144",-2.06833408776658,-11.1080498424173,-7.13381406685671,3.08311239437901e-09,1.33346582356377e-07,10.9990810565658
"ENSG00000267577",1.7157601332089,-10.440753490659,7.10368342792072,3.44309159282867e-09,1.44481692124878e-07,10.8938509996473
"ENSG00000267059",-2.11346108708798,-9.72008261597318,-7.08294892601352,3.71496308959457e-09,1.5285581705142e-07,10.781432464611
"ENSG00000162998",2.04890623868794,-10.1158063653213,7.01341053386207,4.79358244552526e-09,1.85927231046508e-07,10.577957587711
"ENSG00000234638",-2.03490552682261,-9.99741593642633,-6.99816766009604,5.06907573642185e-09,1.93070134636554e-07,10.4883518941075
"ENSG00000118523",2.09632461738952,-6.70951064382612,6.95022795060536,6.04306207633651e-09,2.20721863440447e-07,10.2705925620351
"ENSG00000196616",-1.61742803550222,-7.36427142921955,-6.8391645571901,9.0800085109596e-09,2.98548935322793e-07,9.85162894936743
"ENSG00000178631",1.85984994688714,-10.3745738529717,6.76902913886673,1.17418036749154e-08,3.66357272964013e-07,9.71829499621779
"ENSG00000159387",1.99852783477933,-10.0019816625788,6.75227436271401,1.24854215506403e-08,3.81810061198696e-07,9.65863017186015
"ENSG00000164089",-2.23870926897134,-9.86943795615318,-6.71872840820694,1.41186358080322e-08,4.2035255308034e-07,9.48387800010378
"ENSG00000213312",1.75839130425953,-9.97297853360605,6.69563114087713,1.53655549152364e-08,4.44182733626603e-07,9.45755806727948
"ENSG00000256873",2.64891815826714,-11.4944931613578,6.66705964787234,1.70611864398022e-08,4.80869539805825e-07,9.34626562027859
"ENSG00000187955",2.26140349202949,-9.70833857123655,6.61726017518853,2.04752368265893e-08,5.57579275321177e-07,9.18158254233099
"ENSG00000179954",1.65406433468193,-10.8807353977557,6.61014545127765,2.10157459021573e-08,5.67727282669939e-07,9.15987047504558
"ENSG00000143768",1.57940409099079,-12.2856932705803,6.52434097275049,2.87719191047525e-08,7.43978477034356e-07,8.84494828660248
"ENSG00000106809",1.75495039138047,-8.51703871921053,6.50442135898666,3.0947533230798e-08,7.9071130678287e-07,8.73391421495545
"ENSG00000227051",1.62311875978778,-11.6520024424902,6.47467755005267,3.45052713280637e-08,8.61918232538975e-07,8.67792208146553
"ENSG00000008394",-1.64434574682642,-7.87117684724518,-6.44798349851125,3.80441029868147e-08,9.17780065064227e-07,8.45428261106699
"ENSG00000188536",2.52031197403083,-8.24840343719544,6.38554810549726,4.77985298151766e-08,1.109759479439e-06,8.32091319549585
"ENSG00000244734",2.58819941307406,-5.24763818917692,6.33297049090257,5.7920666197011e-08,1.28711745868285e-06,8.03897273640632
"ENSG00000213970",1.5659290625963,-9.37169751282019,6.33196348893887,5.81340654290184e-08,1.29001240356562e-06,8.15490766516522
"ENSG00000175356",1.85521336132071,-10.09388074762,6.18193198497603,1.00490615205059e-07,1.98064894374447e-06,7.65565293259891
"ENSG00000106483",3.14273928689671,-9.44494810993308,6.16462628496041,1.07030182456717e-07,2.08523895797873e-06,7.59736985408984
"ENSG00000118298",-1.99594790569259,-11.038434270129,-6.13432631965798,1.19516020995153e-07,2.2633095532464e-06,7.46095766879761
"ENSG00000184544",-2.99349126481875,-9.56520822451135,-6.08247529702402,1.44333372131369e-07,2.6245394151759e-06,7.20248841953307
"ENSG00000139289",1.82272303129372,-9.47482399491222,6.08022210210757,1.4552098981029e-07,2.63731646416216e-06,7.27895547849666
"ENSG00000163082",-1.8175694270823,-11.301465360613,-6.0575072506134,1.58049954985576e-07,2.81345556711692e-06,7.20468998773296
"ENSG00000130635",2.10790435357113,-8.29976552320206,6.05014315097311,1.62337696337457e-07,2.87465212854737e-06,7.12391609893846
"ENSG00000143816",3.06329952789433,-10.1135859747703,6.04926967897675,1.62853886983294e-07,2.8807762372118e-06,7.20619083253187
"ENSG00000197299",-1.57626940526408,-9.8623678122421,-6.01753846211703,1.82754380499082e-07,3.14720909228103e-06,6.9987967426825
"ENSG00000224219",2.8650433966976,-7.86448343513658,6.00203426634893,1.93339221723289e-07,3.29851392390827e-06,6.95693643739037
"ENSG00000270136",-2.06852430994347,-12.1949666268325,-5.99247727975094,2.00165143863972e-07,3.39517828273182e-06,7.00325883857171
"ENSG00000101825",1.95622101365452,-10.474525404769,5.93979293207345,2.42324402214351e-07,3.96319919327552e-06,6.82258318429343
"ENSG00000168907",-1.68462380963985,-12.2212144622772,-5.92953136714206,2.51508824957876e-07,4.08967859506023e-06,6.78870565816352
"ENSG00000123689",-1.76061788123094,-7.65720517589987,-5.89802274060222,2.81926616322635e-07,4.50204061249488e-06,6.49242590283818
"ENSG00000137878",-2.4953380745205,-6.97141275151926,-5.82980381710733,3.60870663791617e-07,5.51138939933127e-06,6.25079859813308
"ENSG00000206172",2.32307029081429,-9.65837848557168,5.78534596942359,4.23757922298778e-07,6.28060492900494e-06,6.26843901367416
"ENSG00000260186",-1.66525906858076,-10.8024796813659,-5.77504791721477,4.39810735768795e-07,6.47314129903054e-06,6.19731063307906
"ENSG00000142748",-1.54461791475378,-8.91833692265067,-5.76721385497011,4.52425355780828e-07,6.6223730570266e-06,6.07048431033009
"ENSG00000225057",1.58180475344628,-12.863171254589,5.73861427047883,5.01599877014005e-07,7.20078483655264e-06,6.14499208263138
"ENSG00000175206",3.98384953432975,-3.69128734974018,5.67776698368706,6.2454794476168e-07,8.63916314425302e-06,5.72263317558631
"ENSG00000131477",1.65622750058024,-6.59929389369814,5.61029487823065,7.96021209121743e-07,1.0549776385155e-05,5.4888861114667
"ENSG00000106624",1.92474560670633,-7.83281836301679,5.60980205524436,7.97431381010766e-07,1.05599306680053e-05,5.547245090994
"ENSG00000267586",3.23951863405613,-11.6752269993807,5.60017975503858,8.25465956135711e-07,1.08687657703936e-05,5.67252660328753
"ENSG00000120049",-2.2048504110651,-6.18460731889053,-5.59651482631179,8.36398554019836e-07,1.09737796751813e-05,5.43211354701368
"ENSG00000260566",1.55997293362697,-10.9826159545745,5.59500459695426,8.40945227646015e-07,1.10198832924357e-05,5.64309421249089
"ENSG00000115556",2.30765212435924,-11.278161870146,5.59468225761486,8.41918822886107e-07,1.10198832924357e-05,5.65328474112879
"ENSG00000267228",-2.1880397256552,-10.5292014224364,-5.57297842181179,9.10106780774079e-07,1.17129495964006e-05,5.47083882177388
"ENSG00000269897",-2.34218708354395,-10.4656890491863,-5.49731565415456,1.19342742584003e-06,1.46001847186877e-05,5.20253613742823
"ENSG00000226641",2.76760344987291,-11.2907732571367,5.47429589353666,1.29580830542157e-06,1.56078449095329e-05,5.24506227263867
"ENSG00000171476",-2.33213928468361,-9.58418555234038,-5.4606620075751,1.36049310599512e-06,1.61115538623834e-05,5.02588557401386
"ENSG00000266241",3.83574735271516,-4.72087388634817,5.44317647923341,1.44814484563413e-06,1.69830634428009e-05,4.90890480825201
"ENSG00000258662",2.15479362462496,-12.5325536066042,5.41232748361967,1.6166092150162e-06,1.85471359804199e-05,5.04094230376175
"ENSG00000185565",-2.02735583655546,-10.3961884812408,-5.3934328443912,1.72921175171495e-06,1.9599664834619e-05,4.84524717480928
"ENSG00000267368",2.19902379323671,-11.5175876714371,5.37438150797633,1.85059195304526e-06,2.06297696229059e-05,4.90960232052145
"ENSG00000257073",1.58980010195311,-10.0084065262285,5.3488993929177,2.02619499486243e-06,2.22499893234536e-05,4.76549778561119
"ENSG00000106819",1.7796471017353,-7.64921717896491,5.31331920712015,2.29922379061535e-06,2.47027786042543e-05,4.5045641218197
"ENSG00000146592",1.81706087126659,-9.80189748282577,5.301182505566,2.40042660800858e-06,2.56272817980007e-05,4.59857637940059
"ENSG00000122176",2.29212016039103,-7.7628188660168,5.27659146568009,2.61915464929588e-06,2.74427040113028e-05,4.40413462800412
"ENSG00000254979",-1.68849076297704,-11.8984212194812,-5.27266907418115,2.65581679488328e-06,2.76997764444051e-05,4.526784850204
"ENSG00000120937",3.74063979918295,-5.03134070112078,5.26383395378029,2.7402633727691e-06,2.83522573083231e-05,4.29298628629154
"ENSG00000113296",1.63226841050085,-5.57958815888007,5.24908118194853,2.88721641003238e-06,2.9466312206915e-05,4.21817097783965
"ENSG00000265794",-1.90285359224269,-11.3302710706746,-5.22336978686539,3.16214093763306e-06,3.18303365454242e-05,4.32366304881923
"ENSG00000159173",3.56032441450515,-7.89621671703866,5.20920119361423,3.3245173372236e-06,3.32078633725861e-05,4.23617323235831
"ENSG00000239443",1.54797413695564,-12.3002306750849,5.11215623422939,4.68031375273183e-06,4.40940311267119e-05,4.03905169247039
"ENSG00000120738",2.55556747595189,-8.9420837249493,5.07888085754984,5.26065287099168e-06,4.81400977821105e-05,3.82028909760237
"ENSG00000130222",1.68285811367867,-8.41070275251401,5.00877833436041,6.72496290462828e-06,5.89558567548828e-05,3.50955365282926
"ENSG00000218980",2.04961259699689,-12.1281061204117,4.94659997651267,8.35475444983717e-06,7.02572115868704e-05,3.4916392561715
"ENSG00000215472",-2.32538346110847,-11.1688965273787,-4.86824547186131,1.09699048128361e-05,8.77125580566768e-05,3.11204124572535
"ENSG00000205976",4.36857338847607,-10.9138918278115,4.83472651674052,1.23203312802123e-05,9.64579269813286e-05,3.11229726111148
"ENSG00000261252",1.60388434513419,-12.436535068401,4.83124290409448,1.24697091668291e-05,9.74469739927202e-05,3.11835184150828
"ENSG00000257411",-1.99500112606422,-10.5881023803764,-4.81046465019476,1.33983154041237e-05,0.000103555261334157,2.88737266250199
"ENSG00000244422",1.64613339983642,-8.88949379975789,4.8053723386592,1.3636055511762e-05,0.000104865545593182,2.86314863737659
"ENSG00000128045",1.61993161255034,-10.0782119545965,4.78890955759419,1.44333073367854e-05,0.000109997919072967,2.89387525132675
"ENSG00000239719",-1.84503543570069,-11.6028565519342,-4.77623478838611,1.50781009666185e-05,0.000113630020252444,2.84880527046198
"ENSG00000169181",2.30734820995815,-11.7435832151134,4.74004345998689,1.70787320691574e-05,0.000125901673069539,2.81558828209319
"ENSG00000121005",1.57332363388949,-12.1097651051546,4.68808320489482,2.04129862562459e-05,0.000146645713924968,2.65295479502379
"ENSG00000119681",1.55150352547477,-7.37888270940155,4.67871957660268,2.1078217105231e-05,0.000150529446565271,2.33950680865855
"ENSG00000091986",1.51429889535534,-5.64585109969837,4.6783390531682,2.11056952588703e-05,0.000150662056784616,2.29007456920892
"ENSG00000258153",1.72152980527767,-11.5355462383913,4.66465279576638,2.21176600959096e-05,0.000156826729510242,2.56971841483558
"ENSG00000272114",-1.69240421720711,-10.2186333730185,-4.65474813882864,2.28794889167687e-05,0.000161080365142163,2.35362775982268
"ENSG00000118785",-1.86560294243289,-9.57145573699583,-4.62379536116571,2.54295779316887e-05,0.000176029305117801,2.20165070278386
"ENSG00000258486",1.6051851864111,-10.4685166089363,4.59908823018098,2.76628405332487e-05,0.000188479571417312,2.30002462634685
"ENSG00000181195",2.41005860076024,-10.0882435108318,4.54175142456358,3.36102999761299e-05,0.000223245790611286,2.11883447923564
"ENSG00000225526",2.15469791131743,-11.1832983973475,4.53558813550433,3.4319540992034e-05,0.000227331671647586,2.15096357735538
"ENSG00000078098",1.60017626045788,-9.8236551928285,4.53260488913216,3.46680692934522e-05,0.000228833614294134,2.04199488357438
"ENSG00000019169",-1.63817296559177,-11.362326308644,-4.52695164723725,3.53380387089636e-05,0.000232529794788826,2.02685697541963
"ENSG00000122877",1.58317744870633,-11.8477152022012,4.46487634028788,4.35788326932239e-05,0.000275191052903327,1.93886530448325
"ENSG00000269900",2.24153718789238,-11.3477876351743,4.42033914242547,5.06181629139253e-05,0.000310033956188841,1.79136665380275
"ENSG00000118849",-1.76687494417102,-9.0294245111837,-4.39092379838546,5.58629959472276e-05,0.000336551166534936,1.41398434030937
"ENSG00000214743",1.59496793671027,-9.99491169436386,4.33662058845566,6.69707969859762e-05,0.000392562616232182,1.42897006892051
"ENSG00000142871",1.57896501501054,-7.70410355136106,4.28863771155377,7.85535339145813e-05,0.000446527331774616,1.09576083009347
"ENSG00000154277",1.75657808490025,-8.99843815348463,4.28622307359542,7.91852300115344e-05,0.00044936289420304,1.1951072905924
"ENSG00000261713",-1.68380313760887,-10.87818034602,-4.24540884597204,9.06406771832376e-05,0.00050135409885384,1.09150832236054
"ENSG00000183454",-1.50128802311189,-10.8592533239585,-4.24092289852922,9.19939068904945e-05,0.000507648152802631,1.08110196609357
"ENSG00000273340",3.65392522460718,-10.1556124924409,4.23043755535238,9.52339178971255e-05,0.000522720151106228,1.18200915231946
"ENSG00000075886",-1.72121512033985,-9.1984170061276,-4.23005800302128,9.53532561521472e-05,0.000523205358464945,0.912814728826698
"ENSG00000090530",1.62298701049304,-9.52718394366707,4.22192334928796,9.79461396397989e-05,0.00053500231506739,1.03264745601645
"ENSG00000260516",-1.68169346585663,-12.4567337083982,-4.16764899354071,0.000117083586436454,0.000620495308751764,0.969780391902902
"ENSG00000230099",8.21937372701507,-7.98576223904917,4.16019602062454,0.000119979667559606,0.000632473864744546,0.959823354655462
"ENSG00000248643",1.68431968666843,-11.2660655384566,4.15899894148266,0.000120451259495259,0.000634564252125957,0.965285995081668
"ENSG00000265936",2.01221425372025,-11.2714856445402,4.10838550310138,0.000142121339275408,0.000727425535256184,0.820878555890654
"ENSG00000152086",-1.71715677241902,-7.79887167433705,-4.09143940980244,0.000150187267299908,0.000762936881138104,0.416555156802143
"ENSG00000145681",1.77596289483816,-11.0887410731012,4.06266394603629,0.000164909813260652,0.000825329935498929,0.664003028118377
"ENSG00000222102",8.69722848211662,-7.78822572939858,4.05936554652923,0.000166684063607896,0.000832730930479507,0.652326201375432
"ENSG00000250775",1.60157971574164,-11.1038653455007,3.97520619036563,0.000218740411175574,0.00104553959677505,0.393691919922936
"ENSG00000259001",1.62764731124164,-11.640973689102,3.96760896254242,0.000224146253886295,0.00106595537105487,0.405473511494873
"ENSG00000105664",2.34856749071717,-11.2734489569977,3.96481345838067,0.000226167695799924,0.00107436008530127,0.391547263592056
"ENSG00000156265",1.69296390596558,-10.5529271027779,3.84394867850339,0.000332535038506304,0.00148182189850806,-0.0333001071578476
"ENSG00000138207",-1.56214800363461,-11.903605022991,-3.84326573558301,0.000333255026081132,0.00148463533879295,-0.0458591560057906
"ENSG00000207067",2.05934654504872,-8.97626343111,3.68957118870613,0.000539744542695809,0.00222679189107802,-0.606783614326217
"ENSG00000189002",1.50552477855794,-8.35813890450216,3.67443890540998,0.000565702913843663,0.00232030123114484,-0.736202096101487
"ENSG00000104881",-7.30629263509213,-2.82969167182488,-3.63369188363953,0.000641682768730908,0.00257868736034021,-0.804822350157501
"ENSG00000166819",-1.60488994281747,-11.5011234065185,-3.62055798284453,0.000668188912507576,0.00266440525805603,-0.733046771398582
"ENSG00000247627",-3.49545398908279,2.66386763849244,-3.56883222235417,0.000783121365124403,0.00305428168948773,-0.894803274007997
"ENSG00000237580",10.8467695150261,0.587209501127621,3.553804003257,0.000819906747382798,0.00317796080792814,-1.11286206631768
"ENSG00000209582",1.69487807522846,-9.39504029302705,3.51064412456291,0.000934943919410541,0.00353630879471073,-1.10178532842819
"ENSG00000236901",1.61422441922247,-8.61415779812511,3.49441368015717,0.000982061593372194,0.00368730985912904,-1.22655523304189
"ENSG00000023228",8.69015549695013,3.39732058472062,3.47144713320027,0.00105261426510884,0.00390624530113134,-1.29119008336599
"ENSG00000198868",-4.02655945749815,0.0332339847690111,-3.46406330402319,0.00107630431560489,0.00398279699807317,-1.25936531399525
"ENSG00000115163",1.8201465222639,-11.3648483684785,3.46007691924767,0.00108930415020981,0.00402295249440734,-1.06750522495484
"ENSG00000200253",3.21020373073147,-9.78592534342422,3.33156835946035,0.00159802677856179,0.00550279593815077,-1.48471303314408
"ENSG00000207765",1.62536819244398,-4.08772157695173,3.32013481599691,0.00165285210046296,0.00566178542877027,-1.85287870671859
"ENSG00000270914",2.74073164131484,-8.49488346154361,3.27934515251964,0.00186330209773239,0.0062433726520215,-1.77072114984109
"ENSG00000199753",1.94821844783109,-6.4295619712009,3.26251177895518,0.00195733250449439,0.00651199094698104,-2.00013314683523
"ENSG00000159166",-5.37144420203356,-9.05222974121548,-3.25711278523899,0.00198842843615348,0.00659339476152776,-1.94417378336018
"ENSG00000256599",1.85457027028627,-11.223642256589,3.24891567366466,0.00203653354981655,0.00672666113311327,-1.65011618394701
"ENSG00000239122",1.58492064063321,-12.4084692325511,3.24377037651591,0.00206728798777043,0.00680153835820733,-1.62555478601385
"ENSG00000118194",-2.70794706136214,2.04073249152886,-3.23921555217813,0.00209487834205097,0.00688427665029615,-1.83681584086377
"ENSG00000241287",1.55125758290802,-9.71152990710736,3.23711706745436,0.0021077062777671,0.00691881247056481,-1.83042986386375
"ENSG00000243453",-1.76173888495411,-9.59643940941911,-3.21188191917354,0.00226788573497406,0.00736126980117972,-2.05158760926023
"ENSG00000264338",-1.69534452744922,-5.31157081661821,-3.1814450087899,0.00247635104672358,0.0079283552728403,-2.2234717710235
"ENSG00000202343",2.20414525384319,-11.0321800961397,3.15933637721202,0.00263894649657267,0.00834777856407415,-1.8882659714353
"ENSG00000164879",2.04518699572357,-9.94413472817836,3.14370450304293,0.00275991258753767,0.00868494264381272,-2.03231122409895
"ENSG00000212607",1.7869899889088,-11.2317263578078,3.08430131051381,0.00326876911865523,0.00999062977870568,-2.08369066910223
"ENSG00000273149",2.02434898190071,-10.0283220947378,3.0806119485506,0.00330311092831988,0.0100755607699887,-2.18939623877113
"ENSG00000264049",3.64831764793734,-10.4884061092985,3.0770335336422,0.00333674279639774,0.0101579941367925,-2.10053935314433
"ENSG00000206991",2.50631638777336,-10.0960854287637,2.99577743254087,0.00419240886539781,0.0122894481405343,-2.37617299348963
"ENSG00000207304",2.69915785637154,-11.4375729232279,2.99288835870036,0.00422631135580205,0.0123652510965343,-2.29632645394715
"ENSG00000198744",-8.12274421041816,9.71202164922866,-2.97379432728375,0.00445688745517425,0.0129169535140448,-2.26035265699721
"ENSG00000264772",1.92114193842385,-10.7325014413903,2.9418557213439,0.00486896110287705,0.0138828192902974,-2.48272036681449
"ENSG00000264281",-2.0361012538059,-9.33663720226635,-2.9403621713323,0.00488907311336844,0.0139307692367605,-2.78463190524636
"ENSG00000207561",3.15388161100084,-11.0252142739218,2.93398341273068,0.00497584229751885,0.0141312511852028,-2.45279590291332
"ENSG00000207770",3.28045191410994,-10.4530743666956,2.91631037036208,0.00522378687581217,0.0147429005101568,-2.50802895915418
"ENSG00000258978",1.56601046663427,-11.3217155453451,2.82616528149733,0.00667693504121896,0.0180835439593296,-2.7294896574346
"ENSG00000125633",7.60289551183985,-1.86303967025199,2.80036623292055,0.00715699631227327,0.0191626321594697,-3.16185137383731
"ENSG00000004799",1.53824510089069,-3.83180506047149,2.76398606824039,0.00788825629567339,0.0207947470329124,-3.29108178303664
"ENSG00000238465",1.71187784306946,-8.26314603408461,2.75433881821087,0.00809340741534295,0.021254286580066,-3.19925699634306
"ENSG00000256618",-1.97167546836856,-7.90023164004191,-2.75351097823933,0.00811123865671365,0.0212929458124316,-3.31972201747389
"ENSG00000223877",2.00413762165737,-10.9017641206572,2.74383447214075,0.00832236582597844,0.0217540757217718,-2.94526779817332
"ENSG00000240409",-11.6306439416016,6.7325008999571,-2.70452789869473,0.00923301211961097,0.0236252788553096,-2.93177096540307
"ENSG00000259613",1.99140438481879,-8.9263595940133,2.68989106818509,0.00959488043918705,0.0244439625048346,-3.27035355243896
"ENSG00000248527",-11.8322925818007,6.46141556942856,-2.65028630864515,0.0106402299064166,0.0266849959880485,-3.06064928074319
"ENSG00000273493",1.507474580565,-11.9550509284869,2.59912562594699,0.0121447129830118,0.0297588729719386,-3.22314654944478
"ENSG00000134240",-1.54476517360334,-9.68620042479309,-2.58758779811231,0.0125097675352647,0.0305006745658681,-3.60062780594776
"ENSG00000267952",1.66238561824533,-11.4240640647587,2.57573656836962,0.0128951217662462,0.0312375596890115,-3.30192177175312
"ENSG00000222328",1.58583218477294,-10.7986051867892,2.55892240401045,0.0134604048311988,0.0323566319972143,-3.40318528344367
"ENSG00000252558",-1.69224134610343,-8.02204426966516,-2.55210408004159,0.0136959860298706,0.0328528822342044,-3.79002483417802
"ENSG00000099250",-6.54287686048095,-2.46330793374894,-2.53244620422975,0.0143963126843234,0.0342317271941217,-3.66893920457435
"ENSG00000257923",5.97073466910093,-2.73500728063672,2.44630954733055,0.0178637704502697,0.0408070001464961,-4.00749925669831
"ENSG00000252714",1.88060450527287,-8.3528290864314,2.44056462952163,0.0181198678136971,0.0412916163047342,-3.90642540523143
"ENSG00000238622",1.61016979576216,-9.96433573656349,2.43755495499773,0.018255349775181,0.0415443708852223,-3.7558019973247
"ENSG00000186908",-3.78218802679323,-8.39791968814129,-2.39274876287732,0.020383074832854,0.0455528186201128,-4.11743137239579
"ENSG00000221340",2.41949660877265,-10.3762392615199,2.35536014829569,0.022326156453362,0.0491739556893467,-3.84486430082234
